timestamp,minute_offset,payment_method,bank,gateway,amount,error_code,latency_ms,outcome,injected_event_id
2026-08-25T00:00:01,0,debit_card,KOTAK,gw_primary,7147.44,,936,success,
2026-08-25T00:00:11,0,credit_card,AXIS,gw_secondary,9673.41,,815,success,
2026-08-25T00:00:17,0,netbanking,ICICI,gw_secondary,466.92,INVALID_OTP,597,failed,
2026-08-25T00:00:51,0,debit_card,AXIS,gw_backup,44247.91,,747,success,
2026-08-25T00:00:00,0,wallet,HDFC,gw_backup,744.93,,395,success,
2026-08-25T00:00:49,0,credit_card,AXIS,gw_backup,30794.37,,867,success,
2026-08-25T00:00:32,0,debit_card,YES_BANK,gw_primary,11756.28,,731,success,
2026-08-25T00:00:55,0,wallet,ICICI,gw_secondary,20321.47,,406,success,
2026-08-25T00:00:21,0,netbanking,HDFC,gw_secondary,14741.07,,816,success,
2026-08-25T00:00:04,0,netbanking,AXIS,gw_primary,6470.45,,619,success,
2026-08-25T00:00:04,0,upi,HDFC,gw_backup,36723.45,,834,success,
2026-08-25T00:00:05,0,credit_card,HDFC,gw_backup,38274.23,,813,success,
2026-08-25T00:00:45,0,wallet,SBI,gw_secondary,39941.49,,754,success,
2026-08-25T00:00:06,0,credit_card,YES_BANK,gw_backup,1963.45,,603,success,
2026-08-25T00:00:54,0,netbanking,KOTAK,gw_backup,1559.6,,713,success,
2026-08-25T00:00:17,0,wallet,SBI,gw_primary,10411.6,,401,success,
2026-08-25T00:00:11,0,netbanking,ICICI,gw_secondary,36394.2,,738,success,
2026-08-25T00:00:06,0,debit_card,ICICI,gw_backup,40339.69,,747,success,
2026-08-25T00:00:32,0,upi,SBI,gw_secondary,173.34,,569,success,
2026-08-25T00:00:10,0,wallet,HDFC,gw_backup,12233.14,,624,success,
2026-08-25T00:00:42,0,upi,AXIS,gw_primary,3060.42,,822,success,
2026-08-25T00:00:24,0,wallet,HDFC,gw_primary,12115.13,,541,success,
2026-08-25T00:00:14,0,wallet,HDFC,gw_primary,10894.35,,750,success,
2026-08-25T00:00:28,0,netbanking,SBI,gw_backup,11010.87,,698,success,
2026-08-25T00:00:11,0,credit_card,YES_BANK,gw_secondary,24179.49,,625,success,
2026-08-25T00:00:48,0,wallet,SBI,gw_backup,10027.81,,838,success,
2026-08-25T00:00:55,0,netbanking,AXIS,gw_primary,31138.56,,582,success,
2026-08-25T00:00:33,0,credit_card,SBI,gw_backup,29750.28,,651,success,
2026-08-25T00:01:50,1,netbanking,KOTAK,gw_primary,39736.24,,844,success,
2026-08-25T00:01:09,1,netbanking,YES_BANK,gw_primary,28945.12,,540,success,
2026-08-25T00:01:26,1,netbanking,YES_BANK,gw_backup,16846.88,,678,success,
2026-08-25T00:01:10,1,wallet,HDFC,gw_primary,960.68,,409,success,
2026-08-25T00:01:35,1,debit_card,HDFC,gw_primary,24482.93,,502,success,
2026-08-25T00:01:21,1,wallet,SBI,gw_secondary,40788.53,,808,success,
2026-08-25T00:01:01,1,upi,AXIS,gw_backup,22239.42,,555,success,
2026-08-25T00:01:22,1,upi,HDFC,gw_secondary,42933.7,,846,success,
2026-08-25T00:01:51,1,upi,KOTAK,gw_primary,19354.06,,572,success,
2026-08-25T00:01:55,1,debit_card,ICICI,gw_primary,17851.91,,472,success,
2026-08-25T00:01:41,1,credit_card,YES_BANK,gw_backup,6432.77,,753,success,
2026-08-25T00:01:48,1,debit_card,YES_BANK,gw_backup,13317.59,,784,success,
2026-08-25T00:01:53,1,upi,KOTAK,gw_secondary,382.54,,616,success,
2026-08-25T00:01:19,1,netbanking,ICICI,gw_secondary,19815.56,,680,success,
2026-08-25T00:01:19,1,credit_card,YES_BANK,gw_primary,37776.17,,753,success,
2026-08-25T00:01:11,1,wallet,AXIS,gw_primary,20658.34,,417,success,
2026-08-25T00:01:26,1,debit_card,AXIS,gw_primary,43633.73,,683,success,
2026-08-25T00:01:25,1,credit_card,ICICI,gw_primary,8417.37,,627,success,
2026-08-25T00:01:42,1,netbanking,KOTAK,gw_primary,7922.25,,747,success,
2026-08-25T00:01:33,1,wallet,KOTAK,gw_primary,42975.71,,458,success,
2026-08-25T00:01:28,1,wallet,SBI,gw_secondary,16115.37,,766,success,
2026-08-25T00:01:26,1,credit_card,ICICI,gw_primary,21385.21,,816,success,
2026-08-25T00:01:41,1,credit_card,ICICI,gw_secondary,28633.95,INVALID_OTP,1437,failed,
2026-08-25T00:01:34,1,credit_card,HDFC,gw_backup,36072.58,,712,success,
2026-08-25T00:01:54,1,upi,HDFC,gw_primary,24620.91,,765,success,
2026-08-25T00:01:02,1,netbanking,KOTAK,gw_primary,9774.32,,683,success,
2026-08-25T00:01:07,1,credit_card,SBI,gw_backup,3342.81,,611,success,
2026-08-25T00:01:25,1,wallet,ICICI,gw_primary,42158.67,,827,success,
2026-08-25T00:01:07,1,wallet,HDFC,gw_secondary,19142.67,,941,success,
2026-08-25T00:01:44,1,upi,YES_BANK,gw_primary,10851.07,,779,success,
2026-08-25T00:02:57,2,upi,YES_BANK,gw_primary,14504.22,,748,success,
2026-08-25T00:02:36,2,debit_card,ICICI,gw_backup,3885.31,,680,success,
2026-08-25T00:02:32,2,netbanking,SBI,gw_primary,33894.0,,595,success,
2026-08-25T00:02:58,2,wallet,SBI,gw_backup,24634.32,,698,success,
2026-08-25T00:02:04,2,upi,ICICI,gw_secondary,27877.08,,736,success,
2026-08-25T00:02:13,2,credit_card,SBI,gw_secondary,6725.23,,623,success,
2026-08-25T00:02:46,2,wallet,HDFC,gw_secondary,36604.06,,592,success,
2026-08-25T00:02:15,2,debit_card,ICICI,gw_secondary,14961.83,,667,success,
2026-08-25T00:02:44,2,credit_card,AXIS,gw_secondary,2675.2,,748,success,
2026-08-25T00:02:04,2,wallet,AXIS,gw_secondary,18100.0,,575,success,
2026-08-25T00:02:04,2,upi,YES_BANK,gw_primary,43350.53,INSUFFICIENT_FUNDS,844,failed,
2026-08-25T00:02:41,2,debit_card,SBI,gw_primary,23610.94,,701,success,
2026-08-25T00:02:16,2,upi,KOTAK,gw_secondary,26356.5,,1028,success,
2026-08-25T00:02:15,2,netbanking,AXIS,gw_secondary,17563.84,,578,success,
2026-08-25T00:02:41,2,wallet,HDFC,gw_backup,31462.55,,842,success,
2026-08-25T00:02:24,2,wallet,KOTAK,gw_secondary,3567.59,,613,success,
2026-08-25T00:02:24,2,wallet,HDFC,gw_secondary,3861.27,,515,success,
