tx_id,segment_value,payment_method,amount,root_cause,diagnosis_confidence,action,attempt_number,attempt_outcome,recovered,recovered_amount,reasoning
18733,AXIS,debit_card,38288.44,issuer_decline_spike,1.0,suggest_alternate_method,1,recovered,True,38288.44,Attempt 1/1 via 'suggest_alternate_method' (success prob 35% at this point in time) -> succeeded.
18775,AXIS,debit_card,31533.3,issuer_decline_spike,1.0,suggest_alternate_method,1,failed,False,0.0,Attempt 1/1 via 'suggest_alternate_method' (success prob 35% at this point in time) -> failed.
18775,AXIS,debit_card,31533.3,issuer_decline_spike,1.0,suggest_alternate_method,2,escalated_after_max_retries,False,0.0,Exhausted 1 attempt(s) via 'suggest_alternate_method' without success -- escalated to ops queue rather than retrying indefinitely.
18789,AXIS,debit_card,29562.14,issuer_decline_spike,1.0,suggest_alternate_method,1,failed,False,0.0,Attempt 1/1 via 'suggest_alternate_method' (success prob 35% at this point in time) -> failed.
18789,AXIS,debit_card,29562.14,issuer_decline_spike,1.0,suggest_alternate_method,2,escalated_after_max_retries,False,0.0,Exhausted 1 attempt(s) via 'suggest_alternate_method' without success -- escalated to ops queue rather than retrying indefinitely.
18876,AXIS,debit_card,24028.09,issuer_decline_spike,1.0,suggest_alternate_method,1,failed,False,0.0,Attempt 1/1 via 'suggest_alternate_method' (success prob 35% at this point in time) -> failed.
18876,AXIS,debit_card,24028.09,issuer_decline_spike,1.0,suggest_alternate_method,2,escalated_after_max_retries,False,0.0,Exhausted 1 attempt(s) via 'suggest_alternate_method' without success -- escalated to ops queue rather than retrying indefinitely.
18947,AXIS,debit_card,43249.88,issuer_decline_spike,1.0,suggest_alternate_method,1,failed,False,0.0,Attempt 1/1 via 'suggest_alternate_method' (success prob 35% at this point in time) -> failed.
18947,AXIS,debit_card,43249.88,issuer_decline_spike,1.0,suggest_alternate_method,2,escalated_after_max_retries,False,0.0,Exhausted 1 attempt(s) via 'suggest_alternate_method' without success -- escalated to ops queue rather than retrying indefinitely.
18953,AXIS,debit_card,14912.81,issuer_decline_spike,1.0,suggest_alternate_method,1,failed,False,0.0,Attempt 1/1 via 'suggest_alternate_method' (success prob 35% at this point in time) -> failed.
